areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
N92000002,Northern Ireland,nation,2021-03-16,172,0
N92000002,Northern Ireland,nation,2021-03-15,176,2
N92000002,Northern Ireland,nation,2021-03-14,112,0
N92000002,Northern Ireland,nation,2021-03-13,133,0
N92000002,Northern Ireland,nation,2021-03-12,160,1
N92000002,Northern Ireland,nation,2021-03-11,192,4
N92000002,Northern Ireland,nation,2021-03-10,198,7
N92000002,Northern Ireland,nation,2021-03-09,177,6
N92000002,Northern Ireland,nation,2021-03-08,220,1
N92000002,Northern Ireland,nation,2021-03-07,151,2
N92000002,Northern Ireland,nation,2021-03-06,143,6
N92000002,Northern Ireland,nation,2021-03-05,141,1
N92000002,Northern Ireland,nation,2021-03-04,164,2
N92000002,Northern Ireland,nation,2021-03-03,162,4
N92000002,Northern Ireland,nation,2021-03-02,209,2
N92000002,Northern Ireland,nation,2021-03-01,178,2
N92000002,Northern Ireland,nation,2021-02-28,123,2
N92000002,Northern Ireland,nation,2021-02-27,138,2
N92000002,Northern Ireland,nation,2021-02-26,171,3
N92000002,Northern Ireland,nation,2021-02-25,232,4
N92000002,Northern Ireland,nation,2021-02-24,260,4
N92000002,Northern Ireland,nation,2021-02-23,246,2
N92000002,Northern Ireland,nation,2021-02-22,252,5
N92000002,Northern Ireland,nation,2021-02-21,181,5
N92000002,Northern Ireland,nation,2021-02-20,220,5
N92000002,Northern Ireland,nation,2021-02-19,280,2
N92000002,Northern Ireland,nation,2021-02-18,266,6
N92000002,Northern Ireland,nation,2021-02-17,322,5
N92000002,Northern Ireland,nation,2021-02-16,309,12
N92000002,Northern Ireland,nation,2021-02-15,362,5
N92000002,Northern Ireland,nation,2021-02-14,243,5
N92000002,Northern Ireland,nation,2021-02-13,185,8
N92000002,Northern Ireland,nation,2021-02-12,272,9
N92000002,Northern Ireland,nation,2021-02-11,278,12
N92000002,Northern Ireland,nation,2021-02-10,331,8
N92000002,Northern Ireland,nation,2021-02-09,305,3
N92000002,Northern Ireland,nation,2021-02-08,340,9
N92000002,Northern Ireland,nation,2021-02-07,267,8
N92000002,Northern Ireland,nation,2021-02-06,300,13
N92000002,Northern Ireland,nation,2021-02-05,405,9
N92000002,Northern Ireland,nation,2021-02-04,374,14
N92000002,Northern Ireland,nation,2021-02-03,448,5
N92000002,Northern Ireland,nation,2021-02-02,424,13
N92000002,Northern Ireland,nation,2021-02-01,491,15
N92000002,Northern Ireland,nation,2021-01-31,370,12
N92000002,Northern Ireland,nation,2021-01-30,375,14
N92000002,Northern Ireland,nation,2021-01-29,506,23
N92000002,Northern Ireland,nation,2021-01-28,475,16
N92000002,Northern Ireland,nation,2021-01-27,583,20
N92000002,Northern Ireland,nation,2021-01-26,606,12
N92000002,Northern Ireland,nation,2021-01-25,589,15
N92000002,Northern Ireland,nation,2021-01-24,412,13
N92000002,Northern Ireland,nation,2021-01-23,437,20
N92000002,Northern Ireland,nation,2021-01-22,586,13
N92000002,Northern Ireland,nation,2021-01-21,716,11
N92000002,Northern Ireland,nation,2021-01-20,753,19
N92000002,Northern Ireland,nation,2021-01-19,835,19
N92000002,Northern Ireland,nation,2021-01-18,880,21
N92000002,Northern Ireland,nation,2021-01-17,588,29
N92000002,Northern Ireland,nation,2021-01-16,654,20
N92000002,Northern Ireland,nation,2021-01-15,821,24
N92000002,Northern Ireland,nation,2021-01-14,872,26
N92000002,Northern Ireland,nation,2021-01-13,1026,19
N92000002,Northern Ireland,nation,2021-01-12,1087,19
N92000002,Northern Ireland,nation,2021-01-11,1245,23
N92000002,Northern Ireland,nation,2021-01-10,824,16
N92000002,Northern Ireland,nation,2021-01-09,975,20
N92000002,Northern Ireland,nation,2021-01-08,1187,10
N92000002,Northern Ireland,nation,2021-01-07,1187,21
N92000002,Northern Ireland,nation,2021-01-06,1489,11
N92000002,Northern Ireland,nation,2021-01-05,1598,7
N92000002,Northern Ireland,nation,2021-01-04,2010,13
N92000002,Northern Ireland,nation,2021-01-03,1639,12
